"bibtex_key","title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","selection_criteria","created_at","updated_at","created_by","updated_by","status","comments"
"8101292","Work-in-progress: a fast online sequential learning accelerator for IoT network intrusion detection","H. Huang and R. S. Khalid and W. Liu and H. Yu",,"2017","IEEE Digital Library","1-2",,"Deployment of IoT devices for smart buildings and homes will offer a high level of comfortability with increased energy efficiency; but can also introduce potential cyber-attacks such as network intrusions via linked IoT devices. Due to the low-power and low-latency requirement to secure IoT network, traditional software based security system is not applicable. Instead, an embedded hardware-accelerator based data analytics is more preferred for network intrusion detection. In this paper, we propose an online sequential machine learning hardware accelerator to perform realtime network intrusion detection. A single hidden layer feedforward neural network based learning algorithm is developed with a least-squares solver realized on hardware. Experimental results on a single FPGA achieve a bandwidth of 409.6 Gbps with fast yet low-power network intrusion detection based on a number of benchmarks.","inproceedings","10.1145/3125502.3125532",,,,"computer network security;feedforward neural nets;field programmable gate arrays;Internet of Things;learning (artificial intelligence);least squares approximations;IoT network intrusion detection;smart buildings;embedded hardware-accelerator based data analytics;low-power network intrusion detection;cyber-attacks;software based security system;fast online sequential learning accelerator;IoT device deployment;online sequential machine learning hardware accelerator;feedforward neural network based",,,,,"não descreve o ataque","43383,7914930556","43383,8016319444","luispuhl","luispuhl","Rejected",
"7746067","Threat analysis of IoT networks using artificial neural network intrusion detection system","E. Hodo and X. Bellekens and A. Hamilton and P. Dubouilh and E. Iorkyase and C. Tachtatzis and R. Atkinson",,"2016","IEEE Digital Library","1-6",,"The Internet of things (IoT) is still in its infancy and has attracted much interest in many industrial sectors including medical fields, logistics tracking, smart cities and automobiles. However as a paradigm, it is susceptible to a range of significant intrusion threats.
This paper presents a threat analysis of the IoT and uses an Artificial Neural Network (ANN) to combat these threats.
A multi-level perceptron, a type of supervised ANN, is trained using internet packet traces, then is assessed on its ability to thwart Distributed Denial of Service (DDoS/DoS) attacks.
This paper focuses on the classification of normal and threat patterns on an IoT Network. The ANN procedure is validated against a simulated IoT network. The experimental results demonstrate 99.4% accuracy and can successfully detect various DDoS/DoS attacks.","inproceedings","10.1109/ISNCC.2016.7746067",,,,"computer network security;Internet of Things;multilayer perceptrons;IoT network threat analysis;Internet of Things;artificial neural network;intrusion detection system;multilevel perceptron;supervised ANN;distributed denial of service;DDoS attack;DoS attack;Internet of things;Artificial Neural Network;Denial of Service;Intrusion detection System and Multi-Level Perceptron",,,,,,"43383,7914930556","43384,0804398148","luispuhl","luispuhl","Accepted",
"7755150","PHY/MAC layer attack detection system using neuro-fuzzy algorithm for IoT network","S. Rahman and S. A. Mamun and M. U. Ahmed and M. S. Kaiser",,"2016","IEEE Digital Library","2531-2536",,"The Internet of Things (IoT) has become a novel paradigm that includes globally identifiable physical objects, integrated with the internet. This work presents an attack detection model using Artificial Neuro-Fuzzy Interface System (ANFIS) for IoT networks. Based on the input-output profile, ANFIS adapts its rules and membership parameters using hybrid back propagation and learning algorithm. In this paper, Sugeno type ANFIS has been considered. The ANFIS model can take dynamic information such as traffic flow, energy level, packet size, packet rate, source-destination address, source-destination ports, etc. as input profiles, and generate the current network security state as an output profile. The performance of the ANFIS attack detection model can be compared with fuzzy logic, neural networks, and pattern recognition based attack detection models. Performance evaluation shows that the proposed model is more reliable than other approaches based on confusion matrix, mean square error and accuracy measurement.","inproceedings","10.1109/ICEEOT.2016.7755150",,,,"access control;backpropagation;fuzzy logic;fuzzy set theory;Internet of Things;learning (artificial intelligence);neural nets;pattern recognition;security of data;PHY-MAC layer attack detection system;neuro-fuzzy algorithm;IoT network;Internet of Things;physical object identification;artificial neuro-fuzzy interface system;input-output profile;hybrid back propagation;learning algorithm;Sugeno type ANFIS;network security state;ANFIS attack detection model;fuzzy logic;neural networks;pattern recog",,,,,"descreve técnica de detecção genérica","43383,7914930556","43383,8124884259","luispuhl","luispuhl","Rejected",
"7829523","Hardware Security Threats to DSP Applications in an IoT Network","A. Syed and R. M. Lourde",,"2016","IEEE Digital Library","62-66",,"Security has become a major challenge with the evolution of Digital Signal Processing (DSP) applications for Internet of Things. IoT systems have become vulnerable on the hardware due to the malicious insertions in the designs which cause catastrophic damage to the system. A hardware Trojan possess the capability to modify a device's functionality. The hardware Trojans are designed such that they are capable of altering the existing logic or adding extra logic and thus compromising the integrity of the IC. This paper presents a study on such malicious insertions. Also in this paper we demonstrate methods to identify hardware Trojans and the effect of Hardware Trojans such as Denial of Service in a CORDIC processor using a Xilinx Spartan-3A FPGA kit.","inproceedings","10.1109/iNIS.2016.025",,,,"field programmable gate arrays;Internet of Things;invasive software;signal processing;hardware security threat;digital signal processing;DSP;Internet of Things;IoT network;hardware Trojan;IC fabrication;Xilinx Spartan-3A FPGA;Trojan horses;Hardware;Integrated circuits;Digital signal processing;Computer crime;Internet of Things;Hardware Security;IoT Networks;DSP applications in IoT;CORDIC Processor",,,,,"não é sobre ataque à redes","43383,7914930556","43383,8131828704","luispuhl","luispuhl","Rejected",
"8057145","Proximity based IoT device authentication","J. Zhang and Z. Wang and Z. Yang and Q. Zhang",,"2017","IEEE Digital Library","1-9",,"Internet of Things (IoT) devices are largely embedded devices which lack a sophisticated user interface, e.g., touch screen, keyboard, etc. As a consequence, traditional Pre-Shared Key (PSK) based authentication for mobile devices becomes difficult to apply. For example, according to our study on home automation devices which leverage smartphone for PSK input, the current process does not protect against active impersonating attack and also leaks the Wi-Fi password to eavesdroppers, i.e., currently these IoT devices can be exploited to enter into critical infrastructures, e.g., home networks. Motivated by this real-world security vulnerability, in this paper we propose a novel proximity-based mechanism for IoT device authentication, called Move2Auth, for the purpose of enhancing IoT device security. In Move2Auth, we require user to hold smartphone and perform one of two hand-gestures (moving towards and away, and rotating) in front of IoT device. By combining (1) large RSS-variation and (2) matching between RSS-trace and smartphone sensor-trace, Move2Auth can reliably detect proximity and authenticate IoT device accordingly. Based on our implementation on Samsung Galaxy smartphone and commodity Wi-Fi adapter, we prove Move2Auth can protect against powerful active attack, i.e., the false-positive rate is consistently lower than 0.5%.","inproceedings","10.1109/INFOCOM.2017.8057145",,,,"computer network security;cryptographic protocols;Internet;Internet of Things;message authentication;mobile computing;security of data;smart phones;telecommunication security;user interfaces;wireless LAN;IoT device authentication;called Move2Auth;smartphone sensor-trace;proximity;authenticate IoT device;Key based authentication;mobile devices;home automation devices;IoT device security;Wi-Fi password;Wireless fidelity;Authentication;Home automation;Cryptography;Performance evaluation;Phase shift",,,,,"não é sobre ataque à redes","43383,7914930556","43383,8148726852","luispuhl","luispuhl","Rejected",
"8446380","Cyber-attack Mitigation and Impact Analysis for Low-power IoT Devices","A. Bandekar and A. Y. Javaid",,"2017","IEEE Digital Library","1631-1636",,"Recent years have seen exponential development in wireless sensor devices and their rebirth as IoT, as well as increased popularity in wireless home devices such as bulbs, fans, and microwave. As they can be used in various fields such as medical devices, environmental studies, fire department or military application, etc., security of these low powered devices will always be a concern for all the user and security experts. Users nowadays want to control all these “smart” wireless home devices through their smartphones using an internet connection.
Attacks such as distributed attacks on these devices will render the whole system vulnerable as these attacks can record and extract confidential information as well as increase resource (energy) consumption of the entire network.
In this paper, we propose a cyber-attack detection algorithm and present an impact analysis of easy-to-Iaunch cyber-attacks on a low-power mote (Z1 Zolertia) as a model IoT device. We also present detailed results of power consumption analysis with and without attack along with when the mitigation algorithm for intrusion detection is implemented.","inproceedings","10.1109/CYBER.2017.8446380",,,,"Security;Monitoring;Wireless sensor networks;Energy consumption;Topology;Power demand;Communication system security;IoT network security;Cyber-attack mitigation;intrusion detection system",,,,,,"43383,7914930556","43384,0804050926","luispuhl","luispuhl","Accepted",
"8126193","Sybil attack in IOT: Modelling and defenses","A. Rajan and J. Jithish and S. Sankaran",,"2017","IEEE Digital Library","2323-2327",,"Internet of Things (IoT) is an emerging paradigm in information technology (IT) that integrates advancements in sensing, computing and communication to offer enhanced services in everyday life. IoTs are vulnerable to sybil attacks wherein an adversary fabricates fictitious identities or steals the identities of legitimate nodes. In this paper, we model sybil attacks in IoT and evaluate its impact on performance. We also develop a defense mechanism based on behavioural profiling of nodes. We develop an enhanced AODV (EAODV) protocol by using the behaviour approach to obtain the optimal routes. In EAODV, the routes are selected based on the trust value and hop count. Sybil nodes are identified and discarded based on the feedback from neighbouring nodes. Evaluation of our protocol in ns-2 simulator demonstrates the effectiveness of our approach in identifying and detecting sybil nodes in IoT network.","inproceedings","10.1109/ICACCI.2017.8126193",,,,"computer network security;Internet of Things;routing protocols;defense mechanism;enhanced AODV protocol;sybil nodes;neighbouring nodes;IoT network;information technology;legitimate nodes;Sybil attacks;EAODV protocol;Internet of Things;ad hoc on-demand distance vector;Peer-to-peer computing;Delays;Routing;Throughput;Routing protocols;Security;Sybil Attack;Behavioural profiling;Trust value;AODV;EAODV",,,,,"ataque à rede IoT","43383,7914930556","43384,0803935185","luispuhl","luispuhl","Accepted",
"7920414","An Accurate Security Game for Low-Resource IoT Devices","H. Sedjelmaci and S. M. Senouci and T. Taleb","IEEE Transactions on Vehicular Technology","2017","IEEE Digital Library","9381-9393","66","The Internet of Things (IoT) technology incorporates a large number of heterogeneous devices connected to untrusted networks. Nevertheless, securing IoT devices is a fundamental issue due to the relevant information handled in IoT networks. The intrusion detection system (IDS) is the most commonly used technique to detect intruders and acts as a second wall of defense when cryptography is broken. This is achieved by combining the advantages of anomaly and signature detection techniques, which are characterized by high detection rates and low false positives, respectively. To achieve a high detection rate, the anomaly detection technique relies on a learning algorithm to model the normal behavior of a node, and when a new attack pattern (often known as signature) is detected, it will be modeled with a set of rules. This latter is used by the signature detection technique for attack confirmation. Activating the anomaly detection technique simultaneously at each low-resource IoT device and all the time could generate a high-energy consumption. Thereby, we propose a game theoretic technique to activate anomaly detection technique only when a new attack's signature is expected to occur; hence, a balance between detection and false positive rates, and energy consumption is achieved. Even by combining between these two detection techniques, we observed that the number of false positives is still non null (almost equal to 5%). Thereby, to decrease further the false positive rate, a reputation model based on game theory is proposed. Simulation results show that this lightweight anomaly detection outperforms current anomaly detection techniques, since in scaling mode (i.e., when the number of IoT devices and attackers are high) it requires low energy consumption to detect the attacks with high detection and low false positive rates, almost 93% and 2%, respectively.","article","10.1109/TVT.2017.2701551",,,,"computer network security;cryptography;game theory;Internet of Things;learning (artificial intelligence);anomaly detection technique;signature detection technique;low-resource IoT device;game theoretic technique;false positive rate;lightweight anomaly detection;low false positive rates;IoT networks;intrusion detection system;Internet of Things;heterogeneous devices;accurate security game;IDS;cryptography;learning algorithm;attack patter detection;attack confirmation;energy consumption;reputation",,"0018-9545",,,"ataque à rede IoT","43383,7914930556","43384,0803819444","luispuhl","luispuhl","Accepted",
"8286761","A DDoS attack mitigation framework for internet of things","V. Adat and B. B. Gupta",,"2017","IEEE Digital Library","2036-2041",,"The ubiquity of Internet has been escalating in the recent past as the Internet of Things (IoT) came into the picture. A large number of connected things has completely redefined the perspective of Internet. Advancements in the underlying technologies accelerated this change. On the other side, cyber-attacks also increased with all these developments. The distributed denial of service (DDoS) attacks have increased steeply with more devices to compromise and less secure targets to attack. The IoT networks have been a major victim of the DDoS attacks due to their resource constrained characteristics. Defending IoT-enabled devices and networks from DDoS attacks and being compromised to perform the DDoS attack is a challenging task. In this work, we have proposed a DDoS mitigation framework to defend DDoS attacks on an IoT network. The proposed framework matches with the resource constrained characteristics of IoT environment and suits to adapt to different IoT applications.","inproceedings","10.1109/ICCSP.2017.8286761",,,,"computer network security;Internet of Things;DDoS attack mitigation framework;cyber-attacks;service attacks;IoT network;Internet of Things;distributed denial of service attacks;Computer crime;Internet of Things;Performance evaluation;Floods;Monitoring;Distributed Denial of Service Attack;DDoS Mitigation Algorithm;Internet of Things;Resource Constrained Environment",,,,,,"43383,7914930556","43384,0803703704","luispuhl","luispuhl","Accepted",
"8379695","Using graph databases to assess the security of thingernets based on the thingabilities and thingertivity of things","M. Lewis",,"2018","IEEE Digital Library","1-9",,"Security within the IoT is currently below par. Common security issues include IoT device vendors not following security best practices and/or omitting crucial security controls and features within their devices, lack of defined and mandated IoT security standards, default IoT device configurations, missing secure update mechanisms to rectify security flaws discovered in IoT devices and the overall unintended consequence of complexity - the attack surface of networks comprising IoT devices can increase exponentially with the addition of each new device. In this paper we set out an approach using graphs and graph databases to understand IoT network complexity and the impact that different devices and their profiles have on the overall security of the underlying network and its associated data.","inproceedings","10.1049/cp.2018.0008",,,,"Internet of Things;NoSQL databases;security of data;IoT security standards;default IoT device configurations;secure update mechanisms;security flaws;graph databases;IoT network complexity;IoT device vendors;IoT;graph;risk;cyber;security",,,,,"não descreve o ataque","43383,7914930556","43383,8231597222","luispuhl","luispuhl","Rejected",
